,date,quality_of_life,age,Euro95(€/L),Diesel(€/L),Lpg(€/L),Open,High,Low,Close,adj_close,Volume,Consumer_trust,Economic_climate,Buy_willingness,annual_rate_of_change,annual_rate_of_change_derived,rolling_mean_AEX,news_sentiment,wind_gust,min_temp,avg_temp,max_temp,sunshine_duration,max_potential_sunshine_duration,precipitation_duration,max_precipitation_amount,max_humidity,min_humidity,stringency_index,icu_patients,daily_hospitalization,reproduction_rate,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,counts_per_day,sunrise,sunset,daylight_hours,14day_rollling_avg_temp,14day_rollling_hospitalization
66,6/10/2020,7.52494577,54.6124197,1.525,1.194,0.569,564.5999756,567.2700195,558.210022,559.2800293,559.2800293,141828600,,,,,,553.7309998,-0.618964136,7,4.7,10.9,17.1,0.9,5,0,-0.1,96,58,62.96,80,333,0.98,164,11,48328,6057,,,,,467,5.133333333,21.98333333,16.85,13.43928571,494.8571429
67,6/11/2020,7.455847255,57.89227166,1.529,1.195,0.577,549.5800171,551.460022,540.2600098,540.2600098,540.2600098,179831000,,,,,,553.8950012,-0.611807764,8,13.1,14.7,16.3,0,0,8.7,1.2,97,89,62.96,77,297,0.97,210,2,48538,6059,,,,,427,5.116666667,22,16.88333333,13.73571429,466.4285714
68,6/12/2020,7.416267943,54.96190476,1.534,1.197,0.584,536.8099976,550.960022,535.3499756,545.1599731,545.1599731,149419300,,,,,,555.1539978,-0.630577385,10,15.2,20.1,25,7.8,46,0,-0.1,97,58,62.96,73,279,0.94,179,9,48717,6068,,,,,210,5.116666667,22.01666667,16.9,14.37142857,442.2142857
69,6/13/2020,7.554545455,55.92792793,,,,,,,,,,,,,,,555.1539978,-0.632856131,11,16.7,21.9,27.1,5.5,33,0.2,0.1,97,60,62.96,77,289,0.9,143,4,48860,6072,,,,,111,5.116666667,22.01666667,16.9,14.88214286,420.7857143
70,6/14/2020,7.579439252,55.84722222,,,,,,,,,,,,,,,555.1539978,-0.634257734,8,16.5,20.8,25.1,2.6,15,5.3,5,98,64,62.96,79,277,0.89,165,2,49025,6074,,,,,216,5.116666667,22.03333333,16.91666667,15.28214286,401.7142857
71,6/15/2020,7.612743178,57.34857069,1.535,1.198,0.578,534.0800171,543.8900146,529.7800293,541.9199829,541.9199829,134158100,,,,,,555.3919983,-0.637588918,4,15.8,18.45,21.1,0,0,9.4,3.4,98,69,59.26,87,281,0.84,139,6,49164,6080,,,,,7766,5.1,22.03333333,16.93333333,15.40714286,383.0714286
72,6/16/2020,7.560213415,57.33784393,1.534,1.198,0.577,553.1699829,564.3499756,551.7600098,560.0100098,560.0100098,145589100,,,,,,556.7809998,-0.629679978,9,14,18.3,22.6,2.8,17,0,0,98,63,59.26,78,280,0.77,117,5,49281,6085,,,,,6651,5.1,22.05,16.95,15.28928571,366.2142857
73,6/17/2020,7.553745928,58.1967261,1.54,1.201,0.576,560.6699829,568.6599731,560.4299927,566.4799805,566.4799805,127055800,,,,,,557.298999,-0.624919057,8,14,18.7,23.4,6.3,37,0,0,96,59,59.26,73,289,0.7,115,4,49396,6089,,,,,3421,5.1,22.05,16.95,15.27142857,351.4285714
74,6/18/2020,7.634528164,57.84650828,1.548,1.207,0.586,564.6799927,569.6300049,560.7000122,562.6099854,562.6099854,120256500,,,,,,557.6469971,-0.634976089,6,14.9,17.4,19.9,0.1,1,3.7,1.7,98,73,59.26,67,261,0.67,107,4,49503,6093,,,,,6945,5.1,22.06666667,16.96666667,15.68571429,335.7142857
75,6/19/2020,7.598365441,57.75766256,1.554,1.21,0.584,566.5200195,570.4699707,565.9500122,567.8300171,567.8300171,236385400,,,,,,557.15,-0.621044099,8,11.3,17.25,23.2,8,47,0.9,4,99,61,59.26,57,235,0.64,76,3,49579,6096,,,,,3491,5.116666667,22.06666667,16.95,16.22142857,319
76,6/20/2020,7.596827495,58.69460689,,,,,,,,,,,,,,,557.15,-0.617066085,8,9.5,15.75,22,10.9,64,0,0,97,53,59.26,57,220,0.65,91,8,49670,6104,,,,,1539,5.116666667,22.06666667,16.95,16.54642857,302.1428571
77,6/21/2020,7.544913742,57.82923977,,,,,,,,,,,,,,,557.15,-0.603146136,9,8.9,16.85,24.8,8.2,48,0.7,0.2,97,50,59.26,55,221,0.66,65,1,49735,6105,,,,,1710,5.116666667,22.08333333,16.96666667,16.80357143,286.2857143
